id,direccion
893,Edward Zwick
894,Wolfgang Reitherman
895,Michael Haneke
896,Steven Knight
896,Colm McCarthy
896,Tim Mielants
897,George Cukor
898,Luchino Visconti
899,James Watkins
900,Julian Fellowes
900,Brian Percival
900,David Evans
901,Gary Trousdale
901,Kirk Wise
902,Charles Chaplin
903,François Truffaut
904,Sarah Gavron
905,Tim Burton
906,Elia Kazan
907,Julio Medem
908,Russell Crowe
909,Fernando Colomo
910,Pilar Miró
911,John Frankenheimer
912,François Ozon
913,Luc Besson
914,David Lean
915,Satyajit Ray
916,Alfonso Cuarón
917,Marius Holst
918,Robert Siodmak
919,Isabel Coixet
920,William A. Wellman
921,Bigas Luna
922,Joaquín Oristrell
923,Sergio Leone
924,Warren Beatty
925,John Landis
926,Dome Karukoski
927,Bille August
928,Don Taylor
929,Albert Dupontel
930,David Mamet
931,José Luis Garci
932,Brian De Palma
933,Billy Wilder
934,Woody Allen
935,Clint Eastwood
936,Rob Marshall
937,Michel Hazanavicius
938,Joel Coen
939,Martin Scorsese
940,Stanley Donen
940,Gene Kelly
941,Paul Thomas Anderson
942,Stephen Daldry
943,Hugh Hudson
944,Woody Allen
945,Tom Hooper
946,Clint Eastwood
947,Billy Wilder
948,Terence Winter
948,Timothy Van Patten
948,Allen Coulter
949,Ken Loach
950,Pablo Berger
951,Martin Scorsese
952,Elia Kazan
953,John Musker
953,Ron Clements
954,John Curran
955,Woody Allen
956,Woody Allen
957,John Huston
958,Hayao Miyazaki
959,Tarsem Singh
960,Bille August
961,Carl Theodor Dreyer
962,Zhang Yimou
963,Francis Ford Coppola
964,Neil Jordan
965,Robert Redford
966,E. Elias Merhige
967,Luis Buñuel
968,Giuseppe Tornatore
969,Charles Chaplin
970,Zak Hilditch
971,Roberto Benigni
972,Steven Spielberg
973,Steven Spielberg
974,Steven Spielberg
975,Frank Darabont
976,George Roy Hill
977,Tom Hooper
978,Sam Mendes
979,Wes Anderson
980,Lars von Trier
981,Robert Wise
982,Michael Mann
983,José Luis Cuerda
984,Roman Polanski
985,Joe Wright
986,Joel Coen
987,Bob Fosse
988,Woody Allen
989,Brian Percival
990,Hayao Miyazaki
991,Alejandro Amenábar
992,Stefan Ruzowitzky
993,Woody Allen
994,Fernando Trueba
995,Jon Garaño
995,Aitor Arregi
995,José Mari Goenaga
996,Federico Fellini
997,Emilio Martínez-Lázaro
998,Woody Allen
999,Angelina Jolie
1000,Tay Garnett
1001,Arthur Penn
1002,Fernando Trueba
1003,Francis Lawrence
1004,Robert Altman
1005,Park Chan-wook
1006,Wilson Yip
1007,Francis Ford Coppola
1008,Alejandro Amenábar
1009,Ron Howard
1010,Guillermo del Toro
1011,Christophe Barratier
1012,Terrence Malick
1013,Robert Zemeckis
1014,Morten Tyldum
1015,Richard Attenborough
1016,Woody Allen
1017,George Tillman Jr.
1018,Joel Coen
1019,Taika Waititi
1020,Mel Gibson
1021,Taylor Hackford
1022,Agustí Villaronga
1023,Joel Coen
1024,Ruben Fleischer
1025,Fred Zinnemann
1026,Tim Burton
1027,Benito Zambrano
1028,Víctor Erice
1029,Brian De Palma
1030,Robert De Niro
1031,George Clooney
1032,Woody Allen
1033,Peter Weir
1034,John Kahrs
1035,Robert Zemeckis
1036,Louis Malle
1037,Pier Paolo Pasolini
1038,Jay Roach
1039,Joe Wright
1040,Stanley Kramer
1041,Fernando Fernán Gómez
1042,Lars von Trier
1043,David F. Sandberg
