id_act,actor
333,Óscar Jaenada
334,Robbie Kay
335,Keith Richards
336,Bryce Dallas Howard
337,Nick Robinson
338,Vincent D'Onofrio
339,Ty Simpkins
340,Jake Johnson
341,Omar Sy
342,BD Wong
343,Judy Greer
344,Henry Cavill
345,Amy Adams
346,Russell Crowe
347,Kevin Costner
348,Laurence Fishburne
349,Diane Lane
350,Ayelet Zurer
351,Christopher Meloni
352,Richard Schiff
353,Jamie Bell
354,Andy Serkis
355,Daniel Craig
356,Simon Pegg
357,Nick Frost
358,Daniel Mays
359,Toby Jones
360,Enn Reitel
361,Joe Starr
362,Mackenzie Crook
363,Gwyneth Paltrow
364,Guy Pearce
365,Rebecca Hall
366,Stephanie Szostak
367,Wang Xueqi
368,Andrew Garfield
369,Emma Stone
370,Rhys Ifans
371,Denis Leary
372,Martin Sheen
373,Sally Field
374,Chris Zylka
375,Campbell Scott
376,Embeth Davidtz
377,Ryan Gage
378,Jason Clarke
379,Gary Oldman
380,Keri Russell
381,Toby Kebbell
382,Kodi Smit-McPhee
383,Enrique Murciano
384,Kirk Acevedo
385,Terry Notary
386,James Spader
387,Elizabeth Olsen
388,Aaron Taylor-Johnson
389,Paul Bettany
390,Felicity Jones
391,Diego Luna
392,Ben Mendelsohn
393,Donnie Yen
394,Jiang Wen
395,Mads Mikkelsen
396,Alan Tudyk
397,Forest Whitaker
398,Valene Kane
399,Tobey Maguire
400,Carey Mulligan
401,Isla Fisher
402,Elizabeth Debicki
403,Amitabh Bachchan
404,Jack Thompson
405,Adelaide Clemens
406,Anthony Mackie
407,Robert Redford
408,Frank Grillo
409,Emily Vancamp
410,Jenny Agutter
411,Tom Cruise
412,Emily Blunt
413,Jonas Armstrong
414,Brendan Gleeson
415,Kick Gurry
416,Tony Way
417,Noah Taylor
418,Charlotte Riley
419,Franz Drameh
420,Angelina Jolie
421,Elle Fanning
422,Juno Temple
423,Sharlto Copley
424,Kenneth Cranham
425,Lesley Manville
426,Imelda Staunton
427,Sam Riley
428,Ella Purnell
429,Brenton Thwaites
430,Daniel Brühl
431,Chadwick Boseman
432,Christopher Eccleston
433,René Russo
434,Frances McDormand
435,Woody Harrelson
436,Sam Rockwell
437,John Hawkes
438,Peter Dinklage
439,Caleb Landry Jones
440,Lucas Hedges
441,Abbie Cornish
442,Brendan Sexton III
443,Samara Weaving
444,Michael Keaton
445,Rachel McAdams
446,John Slattery
447,Brian d'Arcy James
448,Gene Amoroso
449,Billy Crudup
450,Elena Wohl
451,Michael Nyqvist
452,Noomi Rapace
453,Sven-Bertil Taube
454,Peter Andersson
455,Peter Haber
456,Marika Lagercrantz
457,Lena Endre
458,Ingvar Hirdwall
459,Gael García Bernal
460,Fele Martínez
461,Javier Cámara
462,Juan Fernández
463,Daniel Giménez Cacho
464,Lluís Homar
465,Alberto Ferreiro
466,Fran Boira
467,Francisco Maestre
468,Nacho Pérez
469,Patrick Wilson
470,Elliot Page
471,Sandra Oh
472,Odessa Rae
473,G.J. Echternkamp
474,Rooney Mara
475,Christopher Plummer
476,Robin Wright
477,Steven Berkoff
478,Yorick Van Wageningen
479,Goran Visnjic
480,Joely Richardson
481,Thomas Bo Larsen
482,Annika Wedderkopp
483,Alexandra Rapaport
484,Anne Louise Hassing
485,Lars Ranthe
486,Lasse Fogelstrøm
487,Susse Wold
488,Ole Dupont
489,Sebastian Bull Sarning
490,Monica Bellucci
491,Vincent Cassel
492,Albert Dupontel
493,Philippe Nahon
494,Jo Prestia
495,Stéphane Drouot
496,Mourad Khima
497,Jean-Louis Costes
498,Ethan Hawke
499,Aaron Ashmore
500,Devon Bostick
501,Dale Dickey
502,Aaron Abrams
503,Adam Butcher
504,David Dencik
505,Kristian Bruun
506,Meryl Streep
507,Lloyd Clay Brown
508,Joseph Foster
509,Bridget Megan Clark
510,Lydia Jordan
511,Paulie Litt
512,Matthew Marvin
513,Reese Witherspoon
514,Nicole Kidman
515,Shailene Woodley
516,Alexander Skarsgård
517,Laura Dern
518,Zöe Kravitz
519,James Tupper
520,Iain Armitage
521,Hong Chau
522,Jane Adams
523,Lara Flynn Boyle
524,Cynthia Stevenson
525,Dylan Baker
526,Ben Gazzara
527,Louise Lasser
528,Elizabeth Ashley
529,Jared Harris
530,Jon Lovitz
531,Isabelle Huppert
532,Laurent Lafitte
533,Anne Consigny
534,Charles Berling
535,Virginie Efira
536,Judith Magre
537,Christian Berkel
538,Jonas Bloquet
539,Alice Isaaz
540,Vimala Pons
541,Michael J. Fox
542,Sean Penn
543,John Leguizamo
544,Thuy Thu Le
545,Don Harvey
546,Erik King
547,Ving Rhames
548,Dale Dye
549,Holt McCallany
550,Jennifer Connelly
551,Jackie Earle Haley
552,Tom Perrotta
553,Noah Emmerich
554,Sadie Goldstein
555,Bruce Kirkpatrick
556,Phyllis Somerville
557,Oksana Akinshina
558,Artiom Bogucharskij
559,Pavel Ponomarev
560,Elina Beninson
561,Ljubov Agapova
562,Roberto Farias
563,Antonia Zegers
564,Alfredo Castro
565,Alejandro Goic
566,Alejandro Sieveking
567,Jaime Vadell
568,Marcelo Alonso
569,Gonzalo Valenzuela
570,Diego Muñoz
571,Catalina Pulido
572,Birgitta Valberg
573,Gunnel Lindblom
574,Birgitta Pettersson
575,Axel Düberg
576,Allan Edwall
577,Tor Isedal
578,Brie Larson
579,John Gallagher Jr.
580,Kaitlyn Dever
581,Stephanie Beatriz
582,Rami Malek
583,Alex Calloway
584,Melora Walters
585,Lakeith Stanfield
586,Silvia Curiel
587,Harold Cannon
588,Charlize Theron
589,Margot Robbie
590,John Lithgow
591,Allison Janney
592,Kate McKinnon
593,Malcolm McDowell
594,Alice Eve
595,Connie Britton
596,Merritt Wever
597,Toni Collette
598,Vanessa Bell Calloway
599,John Hartmann
600,Austin Hebert
601,Liza Lapira
602,Kai Lennox
603,Danielle Macdonald
604,Jodie Foster
605,Kelly McGillis
606,Bernie Coulson
607,Ann Hearn
608,Steve Antin
609,Leo Rossi
610,Carmen Argenziano
611,Terry David Mulligan
612,Woody Brown
613,Peter Van Norden
614,Michelle Jenner
615,Belén Rueda
616,Nuria Gago
617,Rubén Ochandiano
618,Cristina Plazas
619,Javier Pereira
620,Irantzu Erro
621,Ainhoa Quintana
622,Irene Cervantes
623,Joseph Gordon-Levitt
624,Brady Corbet
625,Michelle Trachtenberg
626,Elisabeth Shue
627,Bill Sage
628,Chase Ellison
629,David Lee Smith
630,George Webster
631,Richard Riehle
632,Trieste Kelly Dunn
633,Kevin Bacon
634,David Alan Grier
635,Eve
636,Kyra Sedgwick
637,Benjamin Bratt
638,Carlos Leon
639,Kevin Rice
640,Mos Def
641,Hannah Pilkes
642,Matilda Anna Ingrid Lutz
643,Kevin Janssens
644,Vincent Colombe
645,Guillaume Bouchède
646,Jean-Louis Tribes
647,Stephen Rea
648,Jeffrey DeMunn
649,Joss Ackland
650,John Wood
651,Radu Amzulescu
652,Aidan Quinn
653,Iain Glen
654,Dudley Sutton
655,Marc Warren
656,Claus Bue
657,Andrew Simpson
658,Alan Devlin
659,Stuart Graham
660,Chris Newman
661,Simone Bendix
662,Sarah Butler
663,Jeff Branson
664,Chad Lindberg
665,Daniel Franzese
666,Tracey Walter
667,Rodney Eastman
668,Mollie Milligan
669,Saxon Sharbino
670,Amber Dawn Landrum
671,Sandra Peabody
672,Lucy Grantham
673,David Alexander Hess
674,Fred Lincoln
675,Marc Sheffer
676,Jeramie Rain
677,Richard Towers
678,Cynthia Carr
679,Lou de Laâge
680,Agata Kulesza
681,Joanna Kulig
682,Agata Buzek
683,Pascal Elso
684,Anna Próchniak
685,Vincent Macaigne
686,Katarzyna Dabrowska
687,Eliza Rycembel
688,Helena Sujecka
689,Patrick Carroll
690,Rob Devaney
691,Izzy Diaz
692,Mike Figueroa
693,Kel O'Neill
694,Yanal Kassay
695,Ty Jones
696,Daniel Stewart Sherman
697,Bridget Barkan
698,Clive Owen
699,Liana Liberato
700,Catherine Keener
701,Brandon Molale
702,Rachel Weisz
703,Benedict Cumberbatch
704,Vanessa Redgrave
705,David Strathairn
706,David Hewlett
707,Liam Cunningham
708,Nikolaj Lie Kaas
709,Sergej Trifunovic
710,Roxana Condurache
711,Julia Garner
712,Matthew Macfadyen
713,Dagmara Dominczyk
714,Kristine Froseth
715,Mackenzie Leigh
716,Juliana Canfield
717,Noah Robbins
718,Alexander Chaplin
719,Purva Bedi
720,Karen Bach
721,Raffaëlla Anderson
722,Delphine MacCarty
723,Lisa Marshall
724,Estelle Isaac
725,Dolores Fonzi
726,Oscar Martínez
727,Esteban Lamothe
728,Cristian Salguero
729,Laura López Moyano
730,David Sust
731,Gunter Meisner
732,Marisa Paredes
733,Gisèla Echevarría
734,Imma Colomer
735,Josue Guasch
736,Alberto Manzano
737,Ricart Carcelero
738,David Cuspinera
739,Kôji Yakusho
740,Nana Komatsu
741,Satoshi Tsumabuki
742,Jô Odagiri
743,Fumi Nikaidou
744,Miki Nakatani
745,Ai Hashimoto
746,Jun Kunimura
747,Asuka Kurosawa
748,Mariska Hargitay
749,Ice-T
750,Dann Florek
751,Richard Belzer
752,Tamara Tunie
753,Kelli Giddish
754,Diane Neal
755,Raúl Esparza
756,Ulrich Thomsen
757,Wotan Wilke Möhring
758,Katrin Saß
759,Burghart Klaußner
760,Sebastian Blomberg
761,Karoline Eichhorn
762,Roeland Wiesnekker
763,Claudia Michelsen
764,Oliver Stokowski
765,Jule Böwe
766,Melvil Poupaud
767,Denis Menochet
768,Swann Arlaud
769,Eric Caravaca
770,François Marthouret
771,Bernard Verley
772,Josiane Balasko
773,Hélène Vincent
774,François Chattot
775,Frédéric Pierrot
776,Michaela Coel
777,Weruche Opia
778,Paapa Essiedu
779,Aml Ameen
780,Sarah Niles
781,Ann Akin
782,Harriet Webb
783,Ellie James
784,Franc Ashman
785,Karan Gill
786,Mira Sorvino
787,Robert Carlyle
788,Laurence Leboeuf
789,Lynne Adams
790,Sarah Allen
791,Vlasta Vrana
792,Anna Hopkins
793,Sarah-Jeanne Labrosse
794,Larry Day
795,Camille Keaton
796,Eron Tabor
797,Richard Pace
798,Anthony Nichols
799,Gunter Kleemann
800,Ralph Macchio
801,Pat Morita
802,William Zabka
803,Randee Heller
804,Martin Kove
805,Ron Thomas
806,Rob Garrison
807,Chad McQueen
808,Tony O'Dell
809,Kåre Hedebrant
810,Lina Leandersson
811,Per Ragnar
812,Henrik Dahl
813,Karin Bergquist
814,Peter Carlberg
815,Ika Nord
816,Mikael Rahm
817,Karl-Robert Lindgren
818,Anders T. Peedu
819,Sissy Spacek
820,Piper Laurie
821,Amy Irving
822,William Katt
823,Betty Buckley
824,John Travolta
825,Nancy Allen
826,P.J. Soles
827,Priscilla Pointer
828,Sydney Lassick
829,Lewis MacDougall
830,Liam Neeson
831,Geraldine Chaplin
832,James Melville
833,Garry Marriott
834,Max Gabbay
835,Ben Moor
836,Gabourey Sidibe
837,Mo'Nique
838,Paula Patton
839,Mariah Carey
840,Sherri Shepherd
841,Lenny Kravitz
842,Mahershala Ali
843,Ashton Sanders
844,André Holland
845,Alex R. Hibbert
846,Janelle Monáe
847,Jharrel Jerome
848,Shariff Earp
849,Duan Sanderson
850,Dylan Minnette
851,Katherine Langford
852,Christian Navarro
853,Alisha Boe
854,Brandon Flynn
855,Justin Prentice
856,Miles Heizer
857,Ross Butler
858,Devin Druid
859,Amy Hargreaves
860,Lindsay Lohan
861,Tina Fey 
862,Tim Meadows
863,Amy Poehler
864,Amanda Seyfried
865,Ana Gasteyer
866,Lacey Chabert
867,Lizzy Caplan
868,Jacob Tremblay
869,Julia Roberts
870,Owen Wilson
871,Izabela Vidovic
872,Noah Jupe
873,Mandy Patinkin
874,Danielle Rose Russell
875,Millie Davis
876,Elle McKinnon
877,Bryce Gheisar
878,Mikael Persbrandt
879,Trine Dyrholm
880,William Jøhnk Nielsen
881,Markus Rygaard
882,Bodil Jørgensen
883,Toke Lars Bjarke
884,Camilla Gottlieb
885,Satu Helena Mikkelinen
886,Richard Jenkins
887,Elias Koteas
888,Sasha Barrese
889,Cara Buono
890,Chris Browning
891,Jimmy 'Jax' Pinchak
892,Seth Adkins
893,Julianne Moore
894,Gabriella Wilde
895,Portia Doubleday
896,Alex Russell
897,Zoë Belkin
898,Ansel Elgort
899,Samantha Weinstein
900,Karissa Strain
901,Linda Cardellini
902,James Franco
903,Seth Rogen
904,Jason Segel
905,Martin Starr
906,John Francis Daley
907,Samm Levine
908,Joe Flaherty
909,Busy Philipps
910,Becky Ann Baker
911,Heather Matarazzo
912,Angela Pietropinto
913,Victoria Davis
914,Christina Brucato
915,Daria Kalinina
916,Matthew Farber
917,Eric Mabius
918,Ken Leung
919,Greg Timmermans
920,Marijke Pinoy
921,Laura Verlinden
922,Pol Goossen
923,Titus De Voogdt
924,Maarten Claeyssens
925,Gilles De Schryver
926,Peter De Graef
927,Eduardo Garé
928,Eduardo Espinilla
929,Elvira Mínguez
930,Antonio de la Torre
931,Paz Padilla
932,Frank Crudele
933,Blanca Apilánez
934,Ariadna Gaya
935,Javier Bódalo
936,Kristen Bell
937,Jamie Lee Curtis
938,Odette Yustman
939,Betty White
940,James Wolk
941,Kristin Chenoweth
942,Sean Wing
943,Kyle Bornheimer
944,Leslie Mann
945,Danny McBride
946,Josh Peck
947,Alex Frost
948,David Dorfman
949,Troy Gentile
950,Nate Hartley
951,Stephen Root
952,Vallo Kirs
953,Pärt Uusberg
954,Paula Solvak
955,Margus Prangel
956,Tiina Rebane
957,Merle Jääger
958,Leila Säälik
959,Marje Metsur
960,Lauri Pedaja
961,Andreas Wilson
962,Henrik Lundström
963,Gustaf Skarsgård
964,Linda Gyllenberg
965,Marie Richardson
966,Jesper Salén
967,Johan Rabaeus
968,Kjell Bergqvist
969,Grace Saif
970,Tyler Barnhardt
971,Bex Taylor-Klaus
972,Austin Aaron
973,Tessa Ia
974,Hernán Mendoza
975,Gonzalo Vega Sisto
976,Paloma Cervantez
977,Tamara Yazbek Bernal
978,Juan Carlos Barranco
979,José María Torre
980,Paco Rueda
981,Diego Canales
982,Carmen Beato
983,Grigoriy Fesenko
984,Yana Novikova
985,Rosa Babiy
986,Alexander Dsiadevich
987,Yaroslav Biletskiy
988,Ivan Tishko
989,Alexander Osadchiy
990,Alexander Sidelnikov
991,Alexander Panivan
992,Jorge Clemente
993,Beatriz Medina
994,Emilio Palacios
995,Olivia Baglivi
996,Nacho Coronado
997,Macarena Gómez
998,Paula Soldevila
999,Roman Rymar
1000,Laura Castillo
1001,Javier Manrique
1002,Jena Malone
1003,Mandy Moore
1004,Macaulay Culkin
1005,Patrick Fugit
1006,Mary-Louise Parker
1007,Meaghan Martin
1008,Jennifer Stone
1009,Maiara Walsh
1010,Diego Boneta
1011,Nicole Gale Anderson
1012,Claire Holt
1013,Linden Ashby
1014,Tatum Etheridge
1015,Rhoda Griffis
1016,David Verdaguer
1017,Patricia López Arnaiz
1018,Clara Segura
1019,Ana Labordeta
1020,Betsy Túrnez
1021,Jorge Pobes
1022,Valèria Endrino
1023,Per Graffman
1024,Maria Lundqvist
1025,Sasha Becker
1026,Anni Egecioglu
1027,Emil Odepark
1028,Tintin Anderzon
1029,Christer Fant
1030,Nasrin Pakkho
1031,Mina Azarian
1032,Ashkan Ghods
1033,Gary Sinise
1034,Felicity Huffman
1035,Timothy Hutton
1036,Regina King
1037,Lili Taylor
1038,Elvis Nolasco
1039,Trevor Jackson
1040,Connor Jessup
1041,Joey Pollari
1042,Angelique Rivera
1043,Richard Cabral
1044,Alba Rohrwacher
1045,Luca Marinelli
1046,Isabella Rossellini
1047,Arianna Nastro
1048,Vittorio Lomartire
1049,Martina Albano
1050,Tommaso Neri
1051,Aurora Ruffino
1052,Giorgia Pizzio
1053,Maurizio Donadoni
1054,Teresa Palmer
1055,Frank Sweet
1056,Sam Harris
1057,Charles Baird
1058,Joel Mackenzie
1059,Marni Spillane
1060,Clementine Mellor
1061,Sarah Hudson
1062,Gary Sweet
1063,Xavier Samuel
1064,Edward Burns
1065,John Kapelos
1066,Rachelle Lefevre
1067,Sean McCann
1068,Jamie Thomas King
1069,David Gibson McLean
1070,Thomas Gibson
1071,Jonathan Malen
1072,Bruce Murphy
1073,Albert Carbó
1074,Joan Carles Suau
1075,Carlos Fuentes
1076,Laura Conejero
1077,Yohana Cobo
1078,Montse Mostaza
1079,Nadeska Abreo
1080,Daniel Casadellá
1081,Marisa Duaso
1082,Debby Ryan
1083,Dallas Roberts
1084,Christopher Gorham
1085,Alyssa Milano
1086,Kimmy Shields
1087,Michael Provost
1088,Erinn Westbrook
1089,Sarah Colonna
1090,Irene Choi
1091,Arden Myrin
1092,Corey Haim
1093,Winona Ryder
1094,Kerri Green
1095,Courtney Thorne-Smith
1096,Tom Hodges
1097,Guy Boyd
1098,Jeremy Piven
1099,Emily Seltzer
1100,Annie Ryan
1101,Mathieu Carrière
1102,Marian Seidowsky
1103,Barbara Steele
1104,Bernd Tischer
1105,Alfred Dietz
1106,Lotte Ledl
1107,Jean Launay
1108,Anna Odell
1109,Sandra Andreis
1110,Kamila Benhamza
1111,Anders Berg
1112,Erik Ehn
1113,Niklas Engdahl
1114,Per Fenger-Krog
1115,Robert Fransson
1116,Sara Karlsdotter
1117,Henrik Norlén
1118,Julia Schacht
1119,Arthur Berning
1120,Julia Bache-Wiig
1121,Henriette Steenstrup
1122,Helene Bergsholm
1123,Matias Myren
1124,Lars Nordtveit Listau
1125,Malin Bjørhovde
1126,Beate Støfring
1127,Jon Bleiklie Devik
1128,Hayato Ichihara
1129,Shûgo Oshinari
1130,Ayumi Ito
1131,Takao Osawa
1132,Miwako Ichikawa
1133,Izumi Inamori
1134,Yû Aoi
1135,Rory Culkin
1136,Ryan Kelley
1137,Scott Mechlowicz
1138,Trevor Morgan
1139,Carly Schroeder
1140,Branden Williams
1141,Kaz Garas
1142,Shelly Lipkin
1143,Marc Donato
1144,Jascha Washington
1145,Whitney Hoy
1146,Justin Arnold
1147,Lindsay Seidel
1148,Laura Ashley Samuels
1149,Julin
1150,Eric Isenhower
1151,Travis Tedford
1152,Farah White
1153,Emily Osment
1154,Kay Panabaker
1155,Meaghan Rath
1156,Kelly Rowan
1157,Jon McLaren
1158,Robert Naylor
1159,Nastassia Markiewicz
1160,Jade Hassouné
1161,Caroline Redekopp
1162,Claudia Zepeda
1163,Scarlet Dergal
1164,Karen de la Hoya
1165,Steph Boumelcroud
1166,Kariam Castro
1167,Andrea Pedrero
1168,Eva Luna Marenco
1169,Denis Montes
1170,Natalia Zurita
1171,Alenka Rios
1172,Maisie Williams
1173,Haruka Abe
1174,Jake Davies
1175,Daisy Waterstone
1176,Wilson Haagens
1177,Anthony Shuster
1178,Christopher Lloyd
1179,Lea Thompson
1180,Claudia Wells
1181,Thomas F. Wilson
1182,James Tolkan
1183,Sachi Parker
1184,Marc McClure
1185,Alexandre Rodrigues
1186,Leandro Firmino
1187,Phellipe Haagensen
1188,Douglas Silva
1189,Seu Jorge
1190,Jonathan Haagensen
1191,Matheus Nachtergaele
1192,Jefechander Suplino
1193,Alice Braga
1194,Emerson Gomes
1195,Jason Biggs
1196,Chris Klein
1197,Thomas Ian Nicholas
1198,Alyson Hannigan
1199,Shannon Elizabeth
1200,Tara Reid
1201,Eddie Kaye Thomas
1202,Seann William Scott
1203,Eugene Levy
1204,Natasha Lyonne
1205,Michael Cera
1206,Jennifer Garner
1207,Jason Bateman
1208,J.K. Simmons
1209,Olivia Thirlby
1210,Eileen Pedde
1211,Rainn Wilson
1212,Daniel Clark
1213,Olivia Newton-John
1214,Stockard Channing
1215,Jeff Conaway
1216,Barry Pearl
1217,Michael Tucci
1218,Kelly Ward
1219,Didi Conn
1220,Jamie Donnelly
1221,Dinah Manoff
1222,Jesse Eisenberg
1223,Justin Timberlake
1224,Armie Hammer
1225,Max Minghella
1226,Josh Pence
1227,Joseph Mazzello
1228,Rashida Jones
1229,Brenda Song
1230,Ryan Gosling
1231,James Garner
1232,Sam Shepard
1233,Gena Rowlands
1234,James Marsden
1235,Kevin Connolly
1236,Joan Allen
1237,Jürgen Vogel
1238,Frederick Lau
1239,Jennifer Ulrich
1240,Max Riemelt
1241,Christiane Paul
1242,Elyas M'Barek
1243,Jacob Matschenz
1244,Cristina Do Rego
1245,Maximilian Mauff
1246,Maximilian Vollmar
1247,Jennifer Grey
1248,Patrick Swayze
1249,Jerry Orbach
1250,Cynthia Rhodes
1251,Jack Weston
1252,Jane Brucker
1253,Kelly Bishop
1254,Lonny Price
1255,Max Cantor
1256,Charles 'Honi' Coles
1257,Jennifer Love Hewitt
1258,Sarah Michelle Gellar
1259,Ryan Phillippe
1260,Freddie Prinze Jr.
1261,Johnny Galecki
